Date,Heure,Plateforme,Theme,Type_Contenu,Lien
2026-05-20,09:00,Facebook,Lancement - Qui sommes-nous?,Video 60s,https://www.itech-company.com
2026-05-20,08:00,LinkedIn,Lancement officiel,Post + Image,https://www.itech-company.com
2026-05-20,19:00,TikTok,Présentation virale,Video 30s,https://www.itech-company.com
2026-05-21,12:00,Facebook,Nos 5 services clés,Carrousel 5 slides,https://www.itech-company.com/services
2026-05-21,12:00,LinkedIn,Notre proposition de valeur,Carrousel PDF,https://www.itech-company.com/services
2026-05-21,19:00,TikTok,Ce qu'on fait vs Ce que les gens pensent,Video POV 20s,https://www.itech-company.com
2026-05-22,18:00,Facebook,L'équipe iTech,Photo équipe,https://www.itech-company.com/about
2026-05-22,17:00,LinkedIn,L'équipe et les valeurs,Post + Photo,https://www.itech-company.com/about
2026-05-22,19:00,TikTok,Bureau Tour,Video 45s,https://www.itech-company.com
2026-05-23,09:00,Facebook,Témoignage client #1,Image citation,https://www.itech-company.com/contact
2026-05-23,08:00,LinkedIn,Étude de cas client,Carrousel chiffres,https://www.itech-company.com/portfolio
2026-05-23,19:00,TikTok,Red flags mauvais site web,Video trend 30s,https://www.itech-company.com
2026-05-24,12:00,Facebook,Pourquoi nous choisir,Infographie,https://www.itech-company.com/contact
2026-05-24,12:00,LinkedIn,Tendances tech 2026,Article,https://www.itech-company.com/blog
2026-05-24,19:00,TikTok,Timelapse création site,Video 45s,https://www.itech-company.com
2026-05-25,18:00,Facebook,Tendances tech 2026,Carrousel 6 slides,https://www.itech-company.com/blog
2026-05-25,17:00,LinkedIn,Choisir ses technologies,Carrousel comparatif,https://www.itech-company.com
2026-05-25,19:00,TikTok,Quand le client dit petit changement,Video humour 20s,https://www.itech-company.com
2026-05-26,12:00,Facebook,Récap semaine 1,Image montage,https://www.itech-company.com
2026-05-26,12:00,LinkedIn,Récap et engagement,Post + Sondage,https://www.itech-company.com
2026-05-26,19:00,TikTok,Récap semaine fun,Video compilation 30s,https://www.itech-company.com
2026-05-27,09:00,Facebook,Focus Développement Web,Carrousel portfolio,https://www.itech-company.com/portfolio
2026-05-27,08:00,LinkedIn,Deep dive Développement Web,Infographie technique,https://www.itech-company.com/services
2026-05-27,19:00,TikTok,3 erreurs qui ruinent votre site,Video tips 30s,https://www.itech-company.com
2026-05-28,12:00,Facebook,Focus Développement Mobile,Video/Carrousel,https://www.itech-company.com/services
2026-05-28,12:00,LinkedIn,Deep dive Mobile,Post comparatif,https://www.itech-company.com/services
2026-05-28,19:00,TikTok,Comment on crée une app,Video explainer 45s,https://www.itech-company.com
2026-05-29,18:00,Facebook,Focus UI/UX Design,Avant/Après,https://www.itech-company.com/services
2026-05-29,17:00,LinkedIn,Deep dive UI/UX Design,Carrousel stats,https://www.itech-company.com/services
2026-05-29,19:00,TikTok,Avant/Après Design,Video transformation 20s,https://www.itech-company.com
2026-05-30,09:00,Facebook,Focus DevOps & Cloud,Infographie,https://www.itech-company.com/services
2026-05-30,08:00,LinkedIn,Deep dive DevOps,Infographie process,https://www.itech-company.com/services
2026-05-30,19:00,TikTok,Le cloud expliqué simplement,Video explainer 30s,https://www.itech-company.com
2026-05-31,12:00,Facebook,Focus IA & Automatisation,Video/Carrousel,https://www.itech-company.com/services
2026-05-31,12:00,LinkedIn,Deep dive IA,Carrousel cas usage,https://www.itech-company.com/contact
2026-05-31,19:00,TikTok,L'IA va remplacer les devs?,Video débat 45s,https://www.itech-company.com
2026-06-01,18:00,Facebook,Success Story Client,Étude de cas,https://www.itech-company.com/portfolio
2026-06-01,17:00,LinkedIn,Success story détaillée,Article screenshots,https://www.itech-company.com/portfolio
2026-06-01,19:00,TikTok,Storytime projet difficile,Video storytime 60s,https://www.itech-company.com
2026-06-02,12:00,Facebook,Récap semaine 2,Image + Annonce Live,https://www.itech-company.com
2026-06-02,12:00,LinkedIn,Récap semaine 2,Post récap,https://www.itech-company.com
2026-06-02,19:00,TikTok,Compilation meilleurs moments,Video best of 30s,https://www.itech-company.com
